model,evaluation,dataset,n_patients,metric_name,metric_value,notes
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4438,"drug=oxytetracycline, p=0.679597"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2935,"drug=paclitaxel, p=0.118195"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7731,"drug=paracetamol, p=0.034502"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3124,"drug=parachlorophenol, p=0.157856"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5134,"drug=pazufloxacin, p=0.923763"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3224,"drug=pefloxacin, p=0.182128"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3104,"drug=penicillic-acid, p=0.15329"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.394,"drug=pentetic-acid, p=0.432177"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6189,"drug=phenacetin, p=0.377123"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3781,"drug=phorbol-12-myristate-13-acetate, p=0.365026"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.8169,"drug=pinacidil, p=0.012294"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7542,"drug=pipemidic-acid, p=0.050752"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2945,"drug=piperacetazine, p=0.12008"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6557,"drug=piperacillin, p=0.244291"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.8279,"drug=piracetam, p=0.009152"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5612,"drug=pirinixic-acid, p=0.652672"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3672,"drug=piromidic-acid, p=0.322659"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3662,"drug=practolol, p=0.318964"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.39,"drug=prednisolone-acetate, p=0.414787"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4816,"drug=propylthiouracil, p=0.894578"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4269,"drug=proxymetacaine, p=0.589806"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.1721,"drug=racecadotril, p=0.009152"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6627,"drug=raclopride, p=0.223175"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6577,"drug=remacemide, p=0.238129"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3274,"drug=reserpic-acid, p=0.195182"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6249,"drug=retinyl-acetate, p=0.35316"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.8169,"drug=rhizocarpic-acid, p=0.012294"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5512,"drug=rolitetracycline, p=0.706909"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5134,"drug=ropivacaine, p=0.923763"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5085,"drug=rosmarinic-acid, p=0.953044"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5453,"drug=rotenonic-acid, p=0.740152"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2985,"drug=roxatidine-acetate, p=0.127841"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3443,"drug=rufloxacin, p=0.244291"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3443,"drug=saclofen, p=0.244291"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2388,"drug=saracatinib, p=0.044188"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6428,"drug=sarafloxacin, p=0.286884"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.391,"drug=sertaconazole, p=0.419097"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2308,"drug=solifenacin, p=0.037523"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7373,"drug=spaglumic-acid, p=0.069856"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7264,"drug=sparfloxacin, p=0.084868"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7393,"drug=sparfosic-acid, p=0.06736"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3144,"drug=spironolactone, p=0.162518"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3542,"drug=sulbactam, p=0.276663"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.408,"drug=sulfacetamide, p=0.496076"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3075,"drug=sulfachlorpyridazine, p=0.146617"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3821,"drug=sulindac, p=0.381206"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4527,"drug=tacedinaline, p=0.729017"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4189,"drug=tacrine, p=0.549416"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3741,"drug=tacrolimus, p=0.349256"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7522,"drug=taurocholic-acid, p=0.05276"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.804,"drug=taurodeoxycholic-acid, p=0.017062"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6428,"drug=tazobactam, p=0.286884"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4627,"drug=terreic-acid-(-), p=0.785179"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4736,"drug=tetracaine, p=0.848171"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6348,"drug=tetracycline, p=0.315295"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.59,"drug=tetradecylthioacetic-acid, p=0.505576"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4348,"drug=tetrahydrocannabinol-7-oic-acid, p=0.63143"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.7751,"drug=thenoyltrifluoroacetone, p=0.033066"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4677,"drug=thiazolidinecarboxylic-acid, p=0.813674"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4249,"drug=tiaprofenic-acid, p=0.579589"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4925,"drug=tienilic-acid, p=0.958908"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.793,"drug=tofacitinib, p=0.022161"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2826,"drug=tolfenamic-acid, p=0.098858"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3294,"drug=tosufloxacin, p=0.200579"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4527,"drug=tracazolate, p=0.729017"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3791,"drug=tranexamic-acid, p=0.369032"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2915,"drug=tremulacin, p=0.114489"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.6756,"drug=triacsin-c, p=0.187275"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5542,"drug=triamcinolone-acetonide, p=0.690477"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.3164,"drug=tubacin, p=0.167275"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5413,"drug=tubaic-acid, p=0.762572"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.4189,"drug=ursolic-acid, p=0.549416"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.2239,"drug=valaciclovir, p=0.032366"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5433,"drug=valproic-acid, p=0.751337"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.5323,"drug=zacopride, p=0.813674"
LINCS-reversal,Reversal score discrimination,GSE41998,206,AUC,0.407,"drug=zamifenacin, p=0.491359"
LINCS-reversal,Reversal score discrimination,GSE4779,102,AUC,0.4912,"drug=cyclophosphamide, p=0.885021"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5093,"drug=17-hydroxyprogesterone-caproate, p=0.851589"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4917,"drug=3-matida, p=0.866282"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.3766,"drug=7-hydroxy-pipat, p=0.011794"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5649,"drug=at-7519, p=0.185301"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4911,"drug=at-9283, p=0.85746"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4829,"drug=at-csc-07, p=0.727847"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5745,"drug=at-csc-18, p=0.128716"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4928,"drug=at-sumo-1, p=0.883976"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.494,"drug=at1-shh-09, p=0.90469"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4875,"drug=at1-shh-29, p=0.799152"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5574,"drug=at7867, p=0.241521"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4776,"drug=atpa, p=0.648028"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4589,"drug=l-ascorbyl-6-palmitate, p=0.401935"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.577,"drug=m2-pk-activator, p=0.11605"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.405,"drug=nfkb-activation-inhibitor-ii, p=0.05259"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4677,"drug=pati-1-2-3, p=0.510177"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5173,"drug=stat3-inhibitor-vi, p=0.725039"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4917,"drug=abiraterone, p=0.866282"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5289,"drug=acamprosate, p=0.55689"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4684,"drug=adenosine-phosphate, p=0.519838"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5347,"drug=afatinib, p=0.479438"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5298,"drug=alaproclate, p=0.544397"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.566,"drug=alfadolone-acetate, p=0.177961"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4534,"drug=alrestatin, p=0.341896"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5204,"drug=amuvatinib, p=0.677891"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4585,"drug=apoptosis-activator-ii, p=0.397746"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4493,"drug=argatroban, p=0.301723"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4794,"drug=artesunate, p=0.675154"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5406,"drug=asiatic-acid, p=0.408268"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5453,"drug=asiaticoside, p=0.355365"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4462,"drug=ataluren, p=0.272923"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.449,"drug=atenolol, p=0.298233"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5318,"drug=atenolol-(+/-), p=0.517414"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4607,"drug=atomoxetine, p=0.423275"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5223,"drug=atorvastatin, p=0.65072"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5442,"drug=atovaquone, p=0.367173"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4955,"drug=atractyloside, p=0.928443"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5184,"drug=atracurium, p=0.708268"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.6084,"drug=atropine, p=0.027007"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5155,"drug=azathioprine, p=0.753283"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5014,"drug=baccatin-iii, p=0.979104"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4761,"drug=batimastat, p=0.626657"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4627,"drug=beclomethasone-dipropionate, p=0.447499"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5321,"drug=belinostat, p=0.512583"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.3878,"drug=benzathine, p=0.022021"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5358,"drug=benzatropine, p=0.4656"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4942,"drug=benzonatate, p=0.907655"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4994,"drug=betamethasone-acetate, p=0.991044"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5444,"drug=bezafibrate, p=0.365188"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.647,"drug=bimatoprost, p=0.002691"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4836,"drug=blebbistatin, p=0.739117"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5497,"drug=catechin, p=0.310565"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4823,"drug=catharanthine, p=0.719434"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.412,"drug=cefatrizine, p=0.072482"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5422,"drug=cerivastatin, p=0.389447"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5642,"drug=cetraxate, p=0.190317"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5224,"drug=chlormadinone-acetate, p=0.648028"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.462,"drug=chlorphenesin-carbamate, p=0.4386"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4136,"drug=cilastatin, p=0.078001"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4722,"drug=cimaterol, p=0.572062"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4668,"drug=ciprofibrate, p=0.498234"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4592,"drug=cisplatin, p=0.406151"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5082,"drug=clocortolone-pivalate, p=0.869227"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4964,"drug=clofibrate, p=0.943322"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5717,"drug=cortisone-acetate, p=0.143452"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.6069,"drug=cuneatin, p=0.029147"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5496,"drug=cyclopentolate, p=0.312354"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4977,"drug=dacinostat, p=0.964185"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5406,"drug=dasatinib, p=0.408268"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4647,"drug=dehydrocholate, p=0.472491"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4836,"drug=deoxycorticosterone-acetate, p=0.739117"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4937,"drug=dephostatin, p=0.898764"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5776,"drug=desloratadine, p=0.113468"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4752,"drug=dexamethasone-acetate, p=0.613455"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4587,"drug=dimenhydrinate, p=0.399837"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4739,"drug=diphenoxylate, p=0.595183"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4638,"drug=docosatrienoic-acid, p=0.461037"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5888,"drug=droxinostat, p=0.070134"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5616,"drug=eicosatetraynoic-acid, p=0.208661"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4503,"drug=eicosatrienoic-acid, p=0.310565"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5219,"drug=enalaprilat, p=0.656119"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5256,"drug=entinostat, p=0.602984"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4547,"drug=epibatidine, p=0.355365"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4171,"drug=epicatechin-gallate-(-), p=0.090778"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4351,"drug=epigallocatechin, p=0.185301"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5598,"drug=epigallocatechin-gallate-(-), p=0.222527"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5765,"drug=erbstatin-analog, p=0.118679"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5164,"drug=erythromycin-estolate, p=0.739117"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5072,"drug=erythromycin-ethylsuccinate, p=0.883976"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4618,"drug=esatenolol, p=0.436392"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5745,"drug=estradiol-benzoate, p=0.128716"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5278,"drug=estradiol-cypionate, p=0.572062"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4649,"drug=estradiol-valerate, p=0.474801"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5479,"drug=estropipate, p=0.328758"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4827,"drug=etamsylate, p=0.725039"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5028,"drug=etazolate, p=0.95524"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5402,"drug=etofenamate, p=0.412523"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5604,"drug=etomidate, p=0.218299"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5836,"drug=etretinate, p=0.087957"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4981,"drug=eucatropine, p=0.970151"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5085,"drug=fatostatin, p=0.86334"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.534,"drug=febuxostat, p=0.488787"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.56,"drug=felbamate, p=0.221111"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.47,"drug=fenofibrate, p=0.541916"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4197,"drug=flavoxate, p=0.101229"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4151,"drug=fludrocortisone-acetate, p=0.08319"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4526,"drug=fluoropyruvate, p=0.334348"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5435,"drug=fluticasone-propionate, p=0.375179"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5287,"drug=fluvastatin, p=0.559405"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5611,"drug=fostamatinib, p=0.212753"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4605,"drug=gabexate, p=0.421112"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4999,"drug=gatifloxacin, p=1.0"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5197,"drug=givinostat, p=0.68888"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5693,"drug=glycopyrrolate, p=0.157241"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5682,"drug=guanaben-acetate, p=0.163934"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5728,"drug=homatropine, p=0.13741"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5591,"drug=homosalate, p=0.228254"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.503,"drug=homoveratrylamine, p=0.95226"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4691,"drug=hydrocortisone-acetate, p=0.529593"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5069,"drug=hydrocortisone-hemisuccinate, p=0.889887"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5391,"drug=hydrocortisone-phosphate, p=0.425445"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4389,"drug=hydrocortisone-valerate, p=0.212753"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4428,"drug=hydroxytacrine-maleate-(r,s), p=0.243028"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5023,"drug=ilomastat, p=0.964185"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4274,"drug=imatinib, p=0.138403"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5589,"drug=imperatorin, p=0.229702"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5977,"drug=indatraline, p=0.046109"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4274,"drug=ipratropium, p=0.138403"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.3704,"drug=isoflupredone-acetate, p=0.008158"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5805,"drug=lanatoside-c, p=0.100452"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5723,"drug=lapatinib, p=0.140406"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4257,"drug=latamoxef, p=0.129661"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5692,"drug=latanoprost, p=0.158342"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.394,"drug=latrepirdine, p=0.030558"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5618,"drug=latrunculin-b, p=0.20731"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4856,"drug=lomatin, p=0.770391"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.575,"drug=loratadine, p=0.125915"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5616,"drug=lovastatin, p=0.208661"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4268,"drug=meclofenoxate, p=0.13544"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5831,"drug=melatonin, p=0.090066"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4851,"drug=mepenzolate, p=0.761823"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.547,"drug=mepireserpate, p=0.338109"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.536,"drug=methotrexate, p=0.463315"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4942,"drug=methyl-2,5-dihydroxycinnamate, p=0.907655"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.477,"drug=methyl-dopate, p=0.639978"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4559,"drug=methylatropine, p=0.369164"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4878,"drug=metrifonate, p=0.804938"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5422,"drug=mevastatin, p=0.389447"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4647,"drug=mifobate, p=0.472491"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5219,"drug=mocetinostat, p=0.656119"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5431,"drug=mycophenolate-mofetil, p=0.379222"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4973,"drug=nateglinide, p=0.958221"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.3968,"drug=necrostatin-1, p=0.035148"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5517,"drug=neratinib, p=0.291335"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4655,"drug=nicotinyl-alcohol-tartrate, p=0.481766"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5376,"drug=nizatidine, p=0.443037"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.54,"drug=nomegestrol-acetate, p=0.414661"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5624,"drug=norgestimate, p=0.203294"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5241,"drug=nystatin, p=0.624007"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5798,"drug=obatoclax, p=0.103589"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5067,"drug=ochratoxin-a, p=0.892844"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5409,"drug=olopatadine, p=0.40404"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5514,"drug=orlistat, p=0.294771"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.571,"drug=oxotremorine-sesquifumarate, p=0.147592"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5263,"drug=panobinostat, p=0.592593"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4356,"drug=parthenolide-(alternate-stereo), p=0.189054"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5133,"drug=pepstatin, p=0.787613"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5219,"drug=pevonedistat, p=0.656119"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4576,"drug=phenethyl-isothiocyanate, p=0.387388"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.4757,"drug=phenprobamate, p=0.621361"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.6095,"drug=phenylbutyrate, p=0.025491"
LINCS-reversal,Reversal score discrimination,GSE50948,156,AUC,0.5442,"drug=phorbol-12-myristate-13-acetate, p=0.367173"
